playerID,name,year,loc,numgames,totalwinnings,state,studentflag,lat,lon
3513,Umiko Post,2002,"Peoria, Illinois",2,0,illinois,,40.6938609,-89.5891008
1170,Veronica Fazio,2005,"Roselle, Illinois",1,-1200,illinois,,41.9847505,-88.0797933
7186,Kristi Springer,2011,"Naperville, Illinois",1,3600,illinois,,41.7729107,-88.147867
7455,Edgar Mihelic,2011,"Chicago, Illinois",1,8398,illinois,,41.8755546,-87.6244212
4728,Gretchen Wahl,2008,"Chicago, Illinois",1,3399,illinois,,41.8755546,-87.6244212
2301,Bob Bearse,1988,"Chicago, Illinois",1,0,illinois,,41.8755546,-87.6244212
5847,Jennifer Pasche,2002,"McHenry, Illinois",1,0,illinois,,42.3294391,-88.4605713
5844,James Pethokoukis,2002,"Chicago, Illinois",2,25600,illinois,,41.8755546,-87.6244212
4623,Brandon Jones,2008,"Chicago, Illinois",1,22000,illinois,,41.8755546,-87.6244212
176,Kathleen Hennessey,1998,"Western Springs, Illinois",1,2800,illinois,,41.8097533,-87.9006155
7218,Lindsey Thiesfeld,2011,"Clarendon Hills, Illinois",2,30802,illinois,TRUE,41.7975307,-87.9547835
7215,Andrew Van Duyn,2011,"Wheaton, Illinois",1,6000,illinois,TRUE,41.8639233,-88.1129507
7665,Taylor Cope,2012,"Chicago, Illinois",2,56000,illinois,,41.8755546,-87.6244212
1545,Susan Lee,1997,"Glencoe, Illinois",1,100,illinois,,42.1350268,-87.7581188
8712,Rich Hansen,2013,"Chicago, Illinois",1,9155,illinois,,41.8755546,-87.6244212
6770,Jessica Trudeau,2010,"Barrington, Illinois",2,68802,illinois,,42.1539141,-88.1361888
2511,Matt Thomas,2006,"Chicago, Illinois",1,4399,illinois,,41.8755546,-87.6244212
3530,Jason Sass,2002,"Springfield, Illinois",1,0,illinois,,39.7989763,-89.6443688
4293,Gina Bronsberg,2000,"Chicago, Illinois",2,14800,illinois,TRUE,41.8755546,-87.6244212
4745,Ellen Eden,2008,"Dorsey, Illinois",1,11500,illinois,,38.9736574,-90.0014932
4607,Carl Gilbertsen,2000,"Chicago, Illinois",4,57604,illinois,TRUE,41.8755546,-87.6244212
4601,Dave Sabath,2000,"Western Springs, Illinois",2,14400,illinois,TRUE,41.8097533,-87.9006155
8133,Ashok Poozhikunnel,2013,"Wheaton, Illinois",6,129600,illinois,,41.8639233,-88.1129507
7233,Mike Nelson,2011,"Geneva, Illinois",3,48003,illinois,,41.8875281,-88.3053525
1700,Judy Squires,1998,"Galesburg, Illinois",1,0,illinois,,40.9478158,-90.3712395
1705,David Glickman,1998,"Chicago, Illinois",1,100,illinois,,41.8755546,-87.6244212
8739,Sharon Warner,2013,"Chicago, Illinois",1,2000,illinois,,41.8755546,-87.6244212
8737,Nolan Martch,2013,"Homewood, Illinois",2,4000,illinois,,41.5572567,-87.6656015
8731,Kate Kwiatkowski,2013,"Champaign, Illinois",1,-2200,illinois,,40.1164205,-88.2433829
4196,Ann Kupitz,2000,"Vernon Hills, Illinois",1,2199,illinois,,42.2194686,-87.9795188
5112,Jean Grewe,1993,"Oak Park, Illinois",4,16000,illinois,,41.8850317,-87.7845025
6752,Kristian Zoerhoff,2010,"Gilberts, Illinois",3,65100,illinois,,42.1034365,-88.3745145
2538,David Morgenstern,1997,"Chicago, Illinois",2,20000,illinois,,41.8755546,-87.6244212
792,Missy Carlson,2005,"Naperville, Illinois",2,46600,illinois,,41.7729107,-88.147867
1136,Steve Wang,1996,"Chicago, Illinois",1,4599,illinois,,41.8755546,-87.6244212
3270,Wendy Ball,1999,"Mount Prospect, Illinois",1,12800,illinois,,42.0664167,-87.9372908
2704,Linda Johnson,1997,"Wilmington, Illinois",1,1400,illinois,,41.3078094,-88.1467243
4882,Suzanne Cappozzo,2008,"Palos Heights, Illinois",2,30398,illinois,,41.6681632,-87.7962812
1720,Greg Sanders,1998,"Springfield, Illinois",2,8798,illinois,,39.7989763,-89.6443688
7020,Terry Andrews,2010,"Decatur, Illinois",1,800,illinois,,39.8628075,-88.89387182
3317,Evan Jones,1999,"Chicago, Illinois",1,100,illinois,,41.8755546,-87.6244212
6414,Carin House,2009,"Evanston, Illinois",1,1400,illinois,,42.0447388,-87.6930459
6730,Karen Hoffman,2010,"McHenry, Illinois",1,1000,illinois,,42.3294391,-88.4605713
8318,Ryan McLaughlin,2013,"Chicago, Illinois",1,5500,illinois,,41.8755546,-87.6244212
218,Bud Humphrey,2005,"Park Ridge, Illinois",4,94800,illinois,,42.0111412,-87.8406192
6080,Sara Doran,2009,"Chicago, Illinois",2,77600,illinois,,41.8755546,-87.6244212
4419,Penny Asay,2007,"Chicago, Illinois",1,0,illinois,,41.8755546,-87.6244212
3420,Mike Boyd,1993,"Galesburg, Illinois",3,64803,illinois,,40.9478158,-90.3712395
8076,Lucas Peterson,2012,"Oak Park, Illinois",3,41700,illinois,,41.8850317,-87.7845025
1440,Lisa Doak,1997,"Chicago, Illinois",1,2199,illinois,,41.8755546,-87.6244212
4851,Linda Poggensee,1999,"La Grange, Illinois",1,8400,illinois,,41.8054577,-87.8748644
2762,Mark Lee,2002,"Chicago, Illinois",6,0,illinois,,41.8755546,-87.6244212
2764,Jackie Harrison,2003,"Chicago, Illinois",6,146406,illinois,,41.8755546,-87.6244212
6271,Marty Moran,2009,"Chicago, Illinois",1,27900,illinois,,41.8755546,-87.6244212
3451,Michele Mohr,1999,"Berwyn, Illinois",1,2000,illinois,,41.8505874,-87.7936685
3459,Sam Varnado,1999,"Riverdale, Illinois",1,1,illinois,,41.6333678,-87.6331021
6478,Asad Jaleel,2004,"Naperville, Illinois",1,3100,illinois,,41.7729107,-88.147867
6476,Gabe Orlet,2009,"Belleville, Illinois",2,33000,illinois,TRUE,38.5200504,-89.9839935
7751,Elisabeth Carrel,2012,"Elgin, Illinois",2,48000,illinois,,42.0372487,-88.2811895
3937,Marjorie Fradin,1998,"Highland Park, Illinois",1,7400,illinois,,42.1816919,-87.8003438
8339,Michelle Martin,2013,"Chicago, Illinois",2,49600,illinois,,41.8755546,-87.6244212
4040,Jeannie Sanke,2000,"Evanston, Illinois",1,600,illinois,,42.0447388,-87.6930459
4431,Paul Rouffa,1986,"Forest Park, Illinois",10,100000,illinois,,41.8794758,-87.81367
4438,Jackie Kaufman,2000,"Buffalo Grove, Illinois",2,5998,illinois,,42.1675825,-87.95564011
976,Dan Bowman,1990,"Dixon, Illinois",3,43203,illinois,,41.842224,-89.4815485
1687,Denise Hay,2006,"Crystal Lake, Illinois",1,5200,illinois,,42.2411344,-88.3161965
1688,Chuck Moul,1998,"Chicago, Illinois",1,3600,illinois,,41.8755546,-87.6244212
7280,Cindy Peterson,2011,"Geneva, Illinois",1,0,illinois,,41.8875281,-88.3053525
4239,Steven Silver,2000,"Northbrook, Illinois",3,22200,illinois,,42.1296875,-87.830542
4236,Harry Haghanegi,2007,"Chicago, Illinois",1,15600,illinois,TRUE,41.8755546,-87.6244212
6934,Michael Muller,2010,"Springfield, Illinois",1,18205,illinois,,39.7989763,-89.6443688
8126,Ana Peso,2012,"Wheeling, Illinois",1,5400,illinois,,42.125144,-87.92930515
8122,Sandip Amin,2012,"Madison, Illinois",1,-400,illinois,,38.811063,-89.9017112
7299,Andrew Fuller,2011,"Elburn, Illinois",1,14600,illinois,,41.8922499,-88.4723014
7929,Dan Burke,2012,"Chicago, Illinois",2,53596,illinois,,41.8755546,-87.6244212
